id,team1Id,team2Id,matchDate,matchTime,category,scoreTeam1,scoreTeam2,status,game,round,venue,winner,createdOn,updatedOn
36,TBD,TBD,2025-03-12,7:30 AM,Table Tennis (Men),,,Scheduled,4,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
37,TBD,TBD,2025-03-12,7:30 AM,Table Tennis (Men),,,Scheduled,5,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
38,TBD,TBD,2025-03-13,1:00 PM,Table Tennis (Men),,,Scheduled,6,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
39,TBD,TBD,2025-03-13,1:00 PM,Table Tennis (Men),,,Scheduled,7,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
40,TBD,TBD,2025-03-13,1:00 PM,Table Tennis (Men),,,Scheduled,8,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
41,TBD,TBD,2025-03-13,1:00 PM,Table Tennis (Men),,,Scheduled,9,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
42,TBD,TBD,2025-03-13,1:00 PM,Table Tennis (Men),,,Scheduled,10,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
43,TBD,TBD,2025-03-14,1:00 PM,Table Tennis (Men),,,Scheduled,11,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
44,TBD,TBD,2025-03-14,1:00 PM,Table Tennis (Men),,,Scheduled,12,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
45,TBD,TBD,2025-03-14,1:00 PM,Table Tennis (Men),,,Scheduled,13,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
46,TBD,TBD,2025-03-14,1:00 PM,Table Tennis (Men),,,Scheduled,14,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
47,TBD,TBD,2025-03-14,1:00 PM,Table Tennis (Men),,,Scheduled,15,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
48,Scorpio,Leo,2025-03-12,3:00 PM,Badminton (Men),,,Scheduled,1,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
49,Sagittarius,Virgo,2025-03-12,4:00 PM,Badminton (Men),,,Scheduled,3,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
50,Taurus,Capricorn,2025-03-12,3:00 PM,Badminton (Women),,,Scheduled,1,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
51,Sagittarius,Scorpio,2025-03-12,4:00 PM,Badminton (Women),,,Scheduled,3,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
52,Capricorn,Libra,2025-03-12,3:00 PM,Badminton (Men),,,Scheduled,2,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
53,Taurus,Pisces,2025-03-12,4:00 PM,Badminton (Men),,,Scheduled,4,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
54,Virgo,Pisces,2025-03-12,3:00 PM,Badminton (Women),,,Scheduled,2,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
55,Libra,Leo,2025-03-12,4:00 PM,Badminton (Women),,,Scheduled,4,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
56,TBD,TBD,2025-03-13,7:30 AM,Badminton (Men),,,Scheduled,5,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
57,TBD,TBD,2025-03-13,8:30 AM,Badminton (Men),,,Scheduled,6,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
58,TBD,TBD,2025-03-13,9:30 AM,Badminton (Men),,,Scheduled,7,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
59,TBD,TBD,2025-03-13,10:30 AM,Badminton (Men),,,Scheduled,8,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
60,TBD,TBD,2025-03-13,12:30 AM,Badminton (Men),,,Scheduled,9,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
61,TBD,TBD,2025-03-13,1:30 PM,Badminton (Men),,,Scheduled,10,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
62,TBD,TBD,2025-03-13,2:30 PM,Badminton (Men),,,Scheduled,11,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
